HOTEL NAME,STATE,PHONE,FAX,EMAIL ID,WEBSITE,TYPE,Rooms,ADDRESS
THE PARK ,TAMIL NADU,4452144000,4452144100,tpch@theparkhotels.com,NA,5 Star Deluxe,214,"""UNIT :APEEJAY -SURRENDRA PARK HOTELS LTD 601, ANNA SALAI , Chennai, TAMIL NADU """
Vivanta by Taj - Fishermans Cove,TAMIL NADU,044-67413333,044-67413330,vivanta.fishcove@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,88,"""Covelong Beach, Kanchipuram Dist. - 603112, TAMIL NADU"""
Taj Coromandel,TAMIL NADU,044-66002827,044-66002089,coromandel.chennai@tajhotels.com,www.tajhotels.com,5 Star Deluxe,205,"""37Mahatma Gandhi Salai, Nungambakkam, Chennai - 600 034, TAMIL NADU"""
Le Royal Meridien Chennai,TAMIL NADU,"044-22314343, 435345",044-22314344,reservation@leroyalmeridien-chennai.com,NA,5 Star Deluxe,240,"""(Owned by Appu Hotels Limited)No. 1, G.S.T. Road, St. Thomas Mount, Chennai - 600 016, TAMIL NADU"""
ITC The Mughal,UTTAR PRADESH,0562-4021700,0562-2331730,reservations.itcmughal@itchotels.in,www.itchotels.in,5 Star Deluxe,233,"""Fatehabad RoadTajganj, Agra - 282 001, UTTAR PRADESH"""
Jaypee Greens Golf & Spa Resort,UTTAR PRADESH,1206743000,1202324720,reservation.jggr@jaypeehotels.com,NA,5 Star Deluxe,170,"""A division of Jaiprakash Associates Ltd. G-Block, Surajpur Kasna Road Gautam Budh Nagar, Greater Noida, UTTAR PRADESH"""
Vivanta by Taj ,UTTAR PRADESH,522671100,522671166,residency.lucknow@tajhotels.com,NA,5 Star Deluxe,110,"""Vipin Khand Gomti Nagar , Lucknow , UTTAR PRADESH"""
Taj Ganges Varanasi,UTTAR PRADESH,0542-2503001/019,0542-2501343,ganges.varanasi@tajhotels.com,www.tajhotels.com,5 Star Deluxe,130,"""Nadesar Palace GraoundsNadesar, Varanasi - 221002, UTTAR PRADESH"""
Radisson Hotel,UTTAR PRADESH,0562-4055555,0562-4055556,reservations@rdagra.in,www.radisson.com,5 Star Deluxe,140,"""Taj East Gate Road, Agra - 282 001, UTTAR PRADESH"""
Radisson MBD Hotel,UTTAR PRADESH,0120-4300000,0120-4303000,reservations@radissonmbd.com,www.radissonblu.com,5 Star Deluxe,126,"""Plot No. L-2Sector - 18, Noida - 201 301, UTTAR PRADESH"""
Holiday Regency,UTTAR PRADESH,591301235,5913012375,info@holidayregency.com,holidayregency.com,5 Star Deluxe,74,"""Holiday Regency (A Unit of Omsons Holiday Inn Pvt. ltd)Om Enclave, (KM, Delhi Road , NH-24, Moradabad, UTTAR PRADESH"""
Jaypee Residency Manor,UTTARAKHAND,1352631800,1352631022,jrm@jaypeehotels.com,NA,5 Star Deluxe,90,"""Barlowganj, Mussoorie, UTTARAKHAND"""
ITC Sonar,WEST BENGAL,033-23004516,033-23004500,reservations.itcsonar@itchotels.in,NA,5 Star Deluxe,239,"""1, JBS Haldane AvenueOpp. Science City, Kolkata-700046, WEST BENGAL"""
Hotel Ista Hyderabad,ANDHRA PRADESH,040-44508888,040-44509999,sales@istahyderabad.com,www.anandaspa.com,5 Star,157,"""Plot No-7, Road No. 2I.T. Park, Nanakramguda, Gachibowali, Hyderabad - 500019, ANDHRA PRADESH"""
Hotel Novotel Hyderabad,ANDHRA PRADESH,4066824422,4066844422,H6182-re@accor.com,NA,5 Star,288,"""Novoel & HIVV Complex, Near Hitech City , P.O Bag No-1101, Cyberabad Post Office, Hyderabad, ANDHRA PRADESH"""
Novotel Hyderabad Airport ,ANDHRA PRADESH,4066250000,4066250001,reservations@novotelhyderabadairport.com,NA,5 Star,305,"""GMR Hyderabad International Airport Ltd., Rajiv Gandhi International Airport Shamshabad, Ranga Reddy Dist , ANDHRA PRADESH"""
The Gateway Hotel ,ANDHRA PRADESH,8916623670,8912569867,gateway.visakhapatnam@tajhotels.com,NA,5 Star,95,"""Beach Road, Visakhapatnam , ANDHRA PRADESH"""
Taj Deccan - Hyderabad,ANDHRA PRADESH,4066662323,4066661313,tdhgm.hyd@tajhotels.com,NA,5 Star,151,"""Road No.1Banjara Hills, Hyderabad - 34, ANDHRA PRADESH"""
Leo Meridian Infrastructure,ANDHRA PRADESH,4066404455,4066627744,info@lmiphl.com,www.lmiphl.com,5 Star,88,"""Bommaraspet (Village)Shamirpet Mandal, Ranga Reddy District, ANDHRA PRADESH"""
Hotel Mountview,CHANDIGARH,1724671111,1722742220,mountview@citcochandigarh.com,NA,5 Star,155,"""Sector 10, Chandigarh, CHANDIGARH"""
Hotel Crowne Plaza Today,DELHI,011-40687700-17,011-41634480,reservations@cpokhla.com,www.crowneplaza.com,5 Star,208,"""Plot No. 1Community Centre, Phase 1, Okhla, New Delhi - 110 020, DELHI"""
Vivanta by Taj Ambassador,DELHI,011-66261000,011-24632252,vivanta.ambassador@tajhotels.com,www.vivantabytaj.com,5 Star,88,"""Sujan Singh ParkCornwallis Road, New Delhi - 110003, DELHI"""
Fortune Select Regina ,GOA,8323988444,,velu@acronindia.com,,5 Star,102,"""376, Off. Fort Aquada Road , Candolim , GOA"""
Bogmallo Beach Resort,GOA,0832-2538222-13,0832-2538236,bbrtwhl@sancharnet.in,www.bogmallobeachresort.com,5 Star,126,"""P.O. Bogmallo, Goa - 403806, GOA"""
DEVAAYA AYURVEDA SPA RESORT ,GOA,83222280500,8322280678,www.alconvictorgroup.com,NA,5 Star,57,"""DIWAR, ILHAS ,GOA , GOA"""
Holiday Inn Resort,GOA,8322871303,8322871333,NA,NA,5 Star,203,"""Mobor Beach Cavelossim Salcete,Goa, GOA"""
The Crown Goa,GOA,8322400000,8322400010,reservations@thecrowngoa.com,NA,5 Star,43,"""(A unit of Vision Enterprises) Bairo Alto Dos Pilotos, Goa, GOA"""
Hotel Neo Majestic,GOA,0832 2410378,0832 2415715,neomajestic@neomajestic.com,www.neomajestic.com,5 Star,50,"""Plot No. 104/1APorvorim, North Goa, GOA"""
The Kenilworth Beach Resort & Spa,GOA,0832-6698888,0832-2754183,kenilworthgoa@kenilworthhotels.com,www.kenilworthhotels.com,5 Star,104,"""Utorda, Salcete - 403 713, GOA"""
Hotel La Calypso Get Aways.,GOA,8322275777,8322275815,reservations@lacalypsohotels.com,www.lacalypsohotels.com,5 Star,14,"""Saunta Vaddo, Baga Calangute Road, Calanguta VPBardez Goa, GOA"""
"The ""O""",GOA,8323047000,8323047009,info@ohotelsindia.com/res.goa@ohotelsindia.com,NA,5 Star,75,"""S. No. 114/1Next to Kingfisher Villa, Condolim, Bardez - 403515, GOA"""
Sun-n-Sand Hotel,GOA,8322400000,8322400010,resgoa@sunnsandhotel.com,NA,5 Star,43,"""Bairo Alto Dos PilotosJose Falcao Road, Panjim, GOA"""
The Imperial Palace ,GUJARAT,2812480000,2812480009,mail@hotelimperialpalace.biz,NA,5 Star,80,"""Dr Yagnik Road , Rajkot , GUJARAT"""
Le Meridien,GUJARAT,7925505505,7925505501,gmoffice.ahmedabad@lemeridien.com,NA,5 Star,63,"""C/o. Associated Hotels Pvt. Ltd. Chand Suraj Estate Near Nehru Bridge, Khanpur, Ahmedabad, GUJARAT"""
The Gateway Hotel Ummed,GUJARAT,079-66661234,079-66664444,gateway.ahmedabad@tajhotels.com,www.thegatewayhotels.com,5 Star,91,"""International Airport CircleNext to Army Cantonment, Hansol, Ahmedabad - 382 475, GUJARAT"""
The Galaxy Hotel,HARYANA,0124-4565000,0124-4565151,info@galaxyhotel.in,www.galaxyhotel.in,5 Star,80,"""NH-8Sector-15, Part-II, Gurgaon - 122001, HARYANA"""
THE CHANCERY PAVILION,KARNATAKA,8041414141,8041414242,gm@chanceryhotels.com,NA,5 Star,170,"""ELIXIR ENTERPRISES & HOTELS PVT LTD., NO-135, RESIDENCY ROAD, BANGALORE, KARNATAKA"""
The Zuri - Whitefield,KARNATAKA,8066657272,8066657282,reservations@zuribangalore.com,www.thezurihotels.com,5 Star,162,"""Rajpalya Hoodi - RoadWhitefield, Bengaluru - 560048, KARNATAKA"""
Fortune Park J. P. Palace,KARNATAKA,8213988444,8213984444,rahul.nama@fortunehotels.in,NA,5 Star,108,"""No.-3 Abba RoadNazarabad Mohalla, Mysore, KARNATAKA"""
Hotel Le Meridien - Bangalore,KARNATAKA,080-22262233/2228282,080-22267676/2226205,reservations.bangalore@lemeridien.com/leme.bangalore@lemeridien.com,www.lemeridien-bangalore.com,5 Star,195,"""No. 28, Sankey RoadP.B. No. 174, Bangalore - 560052, KARNATAKA"""
Movenpick Hotel & Spa Bangalore,KARNATAKA,8043001000,8043001010,hotel.bangalore@moevenpick.com,moevenpick-hotel.com,5 Star,262,"""115 Pipeline Road near BEL CircleGokula Extension, Bangalore, KARNATAKA"""
Club Mahindra Lakeview, KERALA,04868-249290-91,04868-249227,gm.munnar@clubmahindra.com,www.clubmahindra.com,5 Star,38,"""Munner, Chinnakanal VillageVia: Suryanelli, Idukki District - 685618, KERALA"""
The Quilon Beach Hotel, KERALA,4742769999,4742749009,crs@qresorts.in,NA,5 Star,95,"""Beach Kollam-691001, Kollam, KERALA"""
The Elephant Court, KERALA,"04869-224696,224697,",04869-224238,info@theelephantcourt.com,www.theelephantcourt.com,5 Star,64,"""Off Kumily - Thekkady RoadThekkady P.O., Kumily - 685 536, Idukki District, KERALA"""
Turtle On The Beach, KERALA,0471-2514000,0471-2514001,info.turtle@thrhotels.com,www.turtleonthebeach.com,5 Star,44,"""VPI/43ITDC Road, Kovalam, Trivandrum - 685 527, KERALA"""
Casino Hotel, KERALA,0484-2668421-2666821,0484-2668001,casinohotel@cghearth.com,www.cghearth.com,5 Star,67,"""Willingdon Island, Cochin - 682 003, KERALA"""
"Trident, Cochin", KERALA,4843081000,4843081002,reservations@tridenthotels.com,www.tridenthotels.com,5 Star,85,"""Bristow RoadWillingdon Island, Cochin - 682003, KERALA"""
The Gateway Hotel -Ernakulam, KERALA,"0484-2371471, 667330","0484-2371481, 667344",gateway.ernakulam@tajhotels.com,www.thegatewayhotels.com,5 Star,108,"""Marine DriveErnakulam, Kochi - 682 011, KERALA"""
Kadavu Resort & Ayurveda Centre, KERALA,"0483-2830023,027,570",0483-2830575,info@kadavuresorts.com,www.kadavuresorts.com,5 Star,72,"""NH-17, Calicut Bye Pass Road, Azhijilam P.O., near Feroke CollegeCalicut - 673632, (A Division of Yenkay complex Pvt. Ltd.), KERALA"""
The Muthoot Plaza Hotel, KERALA,0471-2337733,0471-2337734,gmtmp@sarovarhotels.com,www.sarovarhotels.com,5 Star,57,"""Punnen Road, Thiruvananthapuram - 695039, KERALA"""
Taj Residency - Trivandrum, KERALA,0471-6612345,0471-6612121,taj.trivandrum@tajhotels.com,www.tajhotels.com,5 Star,137,"""T.C. No. 24/1987 (2)C.V. Raman Pillai Road, Thyeaud, Thiruvananthapuram - 695014, KERALA"""
Hotel Ramada -  Khajuraho,MADHYA PRADESH,07686-272302-03,07686-272304,reservations@ramadahotelkhajuraho.com,www.ramadahotelkhajuraho.com,5 Star,82,"""(Owned By Jagdish Shanti Hotel Pvt. Ltd.)Airport Road, Khajuraho - 471606, MADHYA PRADESH"""
Radisson Jass Hotel,MADHYA PRADESH,07686272344/274461,7686272345,reservations@radissionkhajuraho.com,www.radisson.com,5 Star,90,"""By Pass RoadKhajuraho, Dist Chattarpur, MADHYA PRADESH"""
Grand Sarovar Premiere,MAHARASHTRA,0224215 8000/2871 80,0222871 8001,gm@grandsarovar.com/gsp@sarovarhotels.com,www.grandsarovar.com,5 Star,98,"""Junction of Veer Savarkar Flyover &S.V. Road, Goregaon (West)-400062, MAHARASHTRA"""
Hotel Meluha,MAHARASHTRA,2225755555,2225755566,sam@meluhafernhotel.com,NA,5 Star,141,"""Building 7, Sector-V, Central Avenue Hiranandani Gardens Powai, Mumbai, MAHARASHTRA"""
Hotel Tunga Regency Pvt.Ltd. ,MAHARASHTRA,2266801818,2266801800,www.tungahotels.com,NA,5 Star,92,"""PLOT NO-37, SECTOR 30-A, VASHI , NAVI MUMBAI , Mumbai , MAHARASHTRA"""
Ramada Plaza Palm Grove,MAHARASHTRA,022-26112323,022-26113682/2611064,palmgrove@krahejahospitality.com,www.ramadainternational.com,5 Star,115,"""Juhu Beach, Mumbai - 400049, MAHARASHTRA"""
The Shalimar Hotel ,MAHARASHTRA,2266641000,2266641010,theshalimarhotel@vsnl.com,www.theshalimarhotel.com,5 Star,65,"""August Kranti Marg , Mumbai , MAHARASHTRA"""
THE PRIDE HOTEL ,MAHARASHTRA,7122291102,7122290440,PRIDE_NGP@SANCHARNET.COM,WWW.PRIDEGROUP.NET,5 Star,93,"""OPP. AIRPORT WARDHA ROAD , Nagpur , MAHARASHTRA"""
Four Points By Sheraton,MAHARASHTRA,2039406699,2030930930,fo@punefourpoints.com,NA,5 Star,246,"""S.No.197/3, Nagar Road,Viman Nagar, Pune, MAHARASHTRA"""
Taj Blue Diamond,MAHARASHTRA,020-66025555,020-66027755,sandip.mukherjee@tajhotels.com,www.tajhotels.com,5 Star,110,"""11Koregaon Road, Pune - 411001, MAHARASHTRA"""
The O Hotel,MAHARASHTRA,020-40011000,020-40011009,info@ohotelsindia.com,www.ohotelsindia.com,5 Star,111,"""Survey No.371Final Plot No.293, Koregaon, Pune - 411001, MAHARASHTRA"""
Taj Residency - Aurangabad,MAHARASHTRA,2406613737,2406613939,residency.aurangabad@tajhotels.com,NA,5 Star,64,"""8-N-12CIDCO RAUZA BAGH, Aurangabad, MAHARASHTRA"""
Hotel Sea Princess ,MAHARASHTRA,2226611111,2226611144,seaprincess@vsnl.com,NA,5 Star,108,"""969 Juhu Beach , Mumbai , MAHARASHTRA"""
The Gateway Hotel,MAHARASHTRA,2535604499,2535603366,residency.nashik@tajhotels.com,tajhotels.com,5 Star,70,"""P-17, MIDC Ambad MumbaiMumbai - Agra Road, Nashik, MAHARASHTRA"""
Hotel Parc Estique,MAHARASHTRA,2041004100,2041004111,cmd@parcestique.com/info@parcestique.com,www.estiquehotels.com,5 Star,116,"""Viman NagarNagar Road, Pune - 411014, MAHARASHTRA"""
Radisson Windsor Hotel ,PUNJAB,1814671234,815082233,radjal@vsnl.com,NA,5 Star,62,"""Windsor Fountain G.T. Road, Near BMC Chowk , Jalandhar , PUNJAB"""
Majestic Park Plaza ,PUNJAB,1612773000,1612771888,www.fhraI.com,NA,5 Star,117,"""P.O. BOX NO 333 BHAI BALA CHOWK, FEROZEPUR ROAD. , Ludhiana , PUNJAB"""
Hotel Mansingh,RAJASTHAN,"01412378771, 511, 77",1412377582,sales.jpr@mansinghhotels.com,NA,5 Star,95,"""Sansar Chandra Road, Jaipur, RAJASTHAN"""
"Hotel Trident, Jaipur",RAJASTHAN,0141-2670101,0141-2670303,reservations@tridenthotels.com,www.tridenthotels.com,5 Star,134,"""Amber Fort RoadOpp. Jal Mahal, Jaipur, RAJASTHAN"""
Fortune Select Metropolitan - Jaipur,RAJASTHAN,911413099010,911413099099,metropolitan@fortunehotels.in,NA,5 Star,90,"""Fortune Select Metropolitan, Nehru Sahkar Bhawan,C-Scheme, Bias Godam Circle, Jaipur, RAJASTHAN"""
Chokhi Dhani,RAJASTHAN,0141-2770555-56,0141-2770558,resort@chokhidhani.com,www.chokhidhani.com,5 Star,97,"""The Ethntic Village Resort12 Miles, Via Vatika, Tonk Road, Jaipur - 303905, RAJASTHAN"""
Inder Residency,RAJASTHAN,0294-2489888,0294-2488733,seasonshotel@gmail.com,www.inderresidency.in,5 Star,144,"""(A Unit of Seasons Hotels Pvt. Ltd.)Goverdhan Vilas, Shikarbadi Road, Ekling Nagar, Udaipur - 313 001, RAJASTHAN"""
Denzong Regency,SIKKIM,3592201565,35922012568,welcomheritage_denzongregency@hotmail.com,denzongregency.com,5 Star,25,"""Cherry Banks,Development Area, Gangtok, SIKKIM"""
The Gateway Hotel Pasumalai Madurai,TAMIL NADU,0452-6633000,0452-6633081,gateway.madurai@tajhotels.com,www.thegatewayhotels.com,5 Star,63,"""(formerly known as Taj Garden Retreat Madurai)40 T.P.K. Road, Pasumalai, Madurai - 625 004, TAMIL NADU"""
Radisson Hotel GRT,TAMIL NADU,4422310101,4422310202,reservations@radissongrt.com,NA,5 Star,101,"""G S T Road St Thomas Mount Chennai, Chennai, TAMIL NADU"""
Trident - Chennai,TAMIL NADU,044-22344747,044-22346699,reservations@tridenthotels.com,www.tridenthotels.com,5 Star,167,"""1/24, GST RoadMeenambakkam, TAMIL NADU"""
Hotel Clarks Shiraz,UTTAR PRADESH,0562-2226121-27,0562-2226128,info@hotelclarksshiraz.com/resv@hotelclarks.in,www.hotelclarksshiraz.com,5 Star,237,"""54Taj Road, Agra - 282001, UTTAR PRADESH"""
Hotel Trident - Agra,UTTAR PRADESH,5622235000,5622231812,reservations@tridenthotels.com,NA,5 Star,138,"""Fatehabad Road, Agra, UTTAR PRADESH"""
Country Inn & Suites by Carlson.,UTTAR PRADESH,0120-4180000,0120-4180088,info@cissahibabad.in,www.countryinns.com,5 Star,216,"""64/6, Site - IVSahibabad, (Distt. Ghaziabad) - 201 010, UTTAR PRADESH"""
Radisson Hotel Varanasi,UTTAR PRADESH,5422501515,5422501516,reservations@radissonvns.com,NA,5 Star,116,"""The Mall Cantonment, Varanasi Uttar Pradesh, Varanasi, UTTAR PRADESH"""
"The Gateway Hotel, Agra",UTTAR PRADESH,5626602000,5622232420,tajview.agra@tajhotels.com/gateway.agra@tajhotels.com,www.tajhotels.com,5 Star,100,"""Taj GanjFatehabad Road, Agra - 282001, UTTAR PRADESH"""
Hotel Hindusthan International,WEST BENGAL,033-40018000-4001808,033-22800111,reservation@hindusthan.com,www.hhihotels.com,5 Star,184,"""235/1A.J.C. Bose Road, Kolkata - 700020, WEST BENGAL"""
Swissotel Kolkata Neotia Vista,WEST BENGAL,913366266666,,subrata.sarkar@swissotel.com,www.swissotel.com,5 Star,147,"""M/s Swissotel Kolkata Neotia Vista City Center New Town Action Area 2/DPlot No. 11/5 New Town Rajarhat, Kolkata, WEST BENGAL"""
The Golkonda,ANDHRA PRADESH,8246660420,8246660585,gateway.mangalore@tajhotels.com,NA,4 Star,94,"""(A Unit of Golkonda Hospitality Services & REsorts Ltd.) 10-1-124Masab Tank, Hyderabad, ANDHRA PRADESH"""
Palm Beach Hotel,ANDHRA PRADESH,0891-2754026/27,0891-2731036,info@palmbeachhotel.in,www.palmbeachhotel.in,4 Star,44,"""Beach Road, Visakhapatnam - 530 023, ANDHRA PRADESH"""
QUALITY INN DV MANOR,ANDHRA PRADESH,866474455,866483170,info@hoteldvmanor.com,NA,4 Star,115,"""40-1-47, M.G.ROADVENKATESHWARA PURAM, Vijayawada, ANDHRA PRADESH"""
Best Western Amrutha Castle,ANDHRA PRADESH,040-66633888,040-66828222,info@bestwesternamruthacastle.com,www.bestwesternamruthacastle.com,4 Star,90,"""5-9-16, SaifabadOpp. Secretariat, Hyderabad - 500063, ANDHRA PRADESH"""
Hotel Green Park,ANDHRA PRADESH,040-66515151,4023757677,hyd@hotelgreenpark.com,hotelgreenpark.com,4 Star,149,"""(A Division of Diana Hotels Ltd.)7-1-26, Greenlands, Begumpet, Hyderabad - 500016, ANDHRA PRADESH"""
Hotel Raj Mahal,ASSAM,0361-2549141,0361-2639282,info@hotelrajmahal.in/hotelrajmahal@vsnl.net,www.hotelrajmahal.in,4 Star,71,"""A.T. RoadPaltan Bazar, Guwahati - 781001, ASSAM"""
Hotel Natraj,ASSAM,0373-2327275,0373-2321375,hotelnatraj09@gmail.com,NA,4 Star,20,"""H.S. Road, Dibrugarh - 786001, ASSAM"""
Hotel The Royal Plaza,DELHI,1143555555,1143555556,reservations@hoteltheroyalplaza.com/info@hoteltheroyalplaza.com,www.hoteltheroyalplaza.com,4 Star,419,"""(A Unit of Hotel Queen Road Pvt. Ltd.)19, Ashoka Road, New Delhi-110001, DELHI"""
Hotel City Park,DELHI,1125468230,1127310110,hotelcitypark@vsnl.net,NA,4 Star,58,"""3/4, K/P BLOCK PITAMPURA, New Delhi, DELHI"""
Hotel Diplomat,DELHI,1123010204,1123018605,,NA,4 Star,25,"""9, Sardar Patel MargDiplomatic Enclave, New Delhi, DELHI"""
Maidens Hotel,DELHI,011-23975464,011-23980771,reservations@oberoigroup.com,www.maidenshotel.com,4 Star,55,"""7Sham Nath Marg, New Delhi - 110054, DELHI"""
The Connaught,DELHI,011-23364225,011-23340757,theconnaughtnewdelhi@yahoo.com,www.theconnaughtnewdelhi.com,4 Star,79,"""37Shaheed Bhagat Singh Marg, New Delhi - 110001, DELHI"""
Hotel Vikram,DELHI,1146515151,1146515152,info@hotelvikram.com,NA,4 Star,68,"""Ring Road, Lajpat Nagar, New Delhi, DELHI"""
Lazylagoon Sarovar Portico Suites,GOA,0832-2281520,0832-2281527,gmgpo@sarovarhotels.com,www.sarovarhotels.com,4 Star,39,"""(Unit of Aqua Resorts & Spa Pvt. Ltd.)Baga - Arpora, Bardez - 403518, GOA"""
Sun Village Resort,GOA,8322279409,8322279415,sun-village@desouzahotels.com,NA,4 Star,135,"""SaquawadiBaga-Arpora Bardez, GOA"""
WHISPERING PALMS BEACH RESORT,GOA,4712485766,4712481578,info@whisperingpalms.com,NA,4 Star,197,"""SINQUERIM BEACH, WADDICANDOLIM, BARDEZ-GOA, GOA"""
The Metropole Hotel,GUJARAT,079-30130200,079-30130208,info@themetropolehotel.co.in,www.themetropolehotel.co.in,4 Star,70,"""(Unit of Majestic Projects Pvt. Ltd.)Near R.T.O. Circle, Subhash Bridge Corner, Ahmedabad - 380027, """
Hotel Fortune Palace,GUJARAT,0288-2720291,0288-2720296,hotelfortunepalace@yahoo.com,www.hotelfortunepalace.in,4 Star,45,"""Near Digjam CircleAirport Road, Jamnagar - 361 008, GUJARAT"""
Fortune Inn Haveli,GUJARAT,7939884422,7939842121,haveli@fortunehotels.in,www.fortunehotels.in,4 Star,84,"""Plot No. 235,Sector - 11, Gandhinagar, GUJARAT"""
Hotel The Grand Bhagwati,GUJARAT,7926841000,7926840915,info@thegrandbhagwati.com,www.thegrandbhagwati.com,4 Star,37,"""Opp. GurudwaraBodakdev, S.G. Highway, Ahmedabad - 380 054, GUJARAT"""
Optus Sarovar Premiere Hotel,HARYANA,0124-4887777,0124-4887788,spg@sarovarhotels.com,www.sarovarhotels.com,4 Star,80,"""SCO 43-47Sector - 28, City Centre, Gurgaon - 122002, """
Park Premier,HARYANA,0124-4604600,0124-4604666,info@parkpremierhotels.com,www.parkpremierhotels.com,4 Star,94,"""359-357Sector - 29, Gurgaon - 122 001, HARYANA"""
The Bella Vista,HARYANA,1725064848,1725023802,sales@bellavista.in,NA,4 Star,49,"""SM 8, City Centre,Sector 5, Panchkula, HARYANA"""
Fortune Select Global,HARYANA,0124-4196666,0124-4062388,global@fortunehotels.in,www.fortunehotelsin,4 Star,83,"""2nd Floor, Global ArcadeM.G. Road, Gurgaon, HARYANA"""
Courtyard By Marriott,HARYANA,0124-4888444,0124-4888222,www.courtyardmarriottgurgaon.com,NA,4 Star,198,"""Plot No. 27 BSector Road, Sushant Lok - 1, Sector - 27, Gurgaon - 122 002, HARYANA"""
Fortune Park J.P.Celestial,KARNATAKA,8040441234,8041476060,jpcelestial@fortunehotels.in,www.fortunehotels.in,4 Star,130,"""No 5/43, Seshadri RoadNear Race Course Road, Bangalore-09, KARNATAKA"""
The Gatwway Hotel - Chikmagalur,KARNATAKA,08262-660660-61,08262-660666,gateway.chikmagalur@tajhotels.com,www.thegatewayhotels.com,4 Star,29,"""KM RoadJyothi Nagar, Chikmagalur - 577102, KARNATAKA"""
Raj Residency,KERALA,4672208444,4672217294,rajgrouphotels@gmail.com,rajgrouphotels.com,4 Star,198,"""Near New bus standAlamipally, Kanhangad, KERALA"""
Hotel Maurya Rajadhani,KERALA,4712472299,4712472299,maurya@rajadhanihotels.com,NA,4 Star,39,"""Stat GL,Hospital Road Statue, Trivandrum, KERALA"""
Keys Hotels,KERALA,4713944100,4713983800,reservations.thiruvananthapuram@keyshotels.com,keyshotels.com,4 Star,101,"""Sy. No. 2863/1Opp. Fire & Rescue Services Housing Board junction, Trivandrum, KERALA"""
Hotel Blue Nile,KERALA,"0497-2760077, 276478",0497-2768844,mail@hotelbluenile.com,www.hotelbluenile.com,4 Star,39,"""S.N. Park Road, Kannur - 670 001, KERALA"""
Hotel Amruthaa International,KERALA,0484-2398222-4192222,0484-4050551,amruthaainternational@gmail.com,NA,4 Star,26,"""No. CC 41/2884St. Benedict Road, Ernakulam, Kochi - 682 018, KERALA"""
Fragrant Nature Retreat and Resort Pvt. Ltd.,KERALA,4742514000,4742518021,enquiries@fragrantnature.com,www.fragrantnature.com,4 Star,18,"""Building No. CPI/07-20A,Nedungolam P.O., Paravur, Kollam, KERALA"""
Hotel Presidency,KERALA,4842394300,4842393222,presid@vsnl.com,NA,4 Star,49,"""Paramara Road Ernakulam Town, Kochi, KERALA"""
Hotel Raj Regency,KERALA,4884226877,4884666977,rajregencypnr@gmail.com,NA,4 Star,10,"""Chelakkara road,Pazhayannur, Thrissur, KERALA"""
ATS Residency,KERALA,4912537477,4912523182,info@atshotels.com,atsresidency.com,4 Star,20,"""Yakkara Branch RoadNear D.P Office, Palakkad, KERALA"""
The Royale Gardens,KERALA,0479-2404000,0479-2404999,info@theroyalegardens.com,www.theroyalegardens.com,4 Star,34,"""Nangiarkulangara P.O.Haripad - Alleppey District, Kerala - 690513, KERALA"""
Hotel Srivatsa Regency,KERALA,4923251119,4923254119,hotelsrivatsaregency@gmail.com,www.hotelsrivatsaregency.com,4 Star,12,"""Pittupeedika, Main Road,Koduvayur, Palakkad, KERALA"""
Hotel Hills Park,KERALA,4682226262,NA,hotelhillspark@gmail.com,NA,4 Star,15,"""Kumbazha Road,Pathanamthitta,District, Kerala, KERALA"""
Neelamabari Suite,KERALA,4852555123,4852555133,infor@neelabarisuite.com,neelabarisuite.com,4 Star,22,"""Villanchira,Thalakkodu P.O.Neriyamangalam, Ernakulam, KERALA"""
Excalibur Hotels & Resorts,KERALA,4812791781,4812711784,hotel.excalibur@gmail.com,www.excalibur.in,4 Star,20,"""Carithas Junction,MC Road,Thellakon, Kottayam, KERALA"""
Raj Residency,KERALA,4672208444,4672217294,rajgrouphotels@gmail.com,rajgrouphotels.com,4 Star,198,"""Near New bus standAlamipally, Kanhangad, KERALA"""
Muthoot Cardamom County Resort,KERALA,04869-224501,04869-222869/222807,reservations@muthoothotels.com,www.raxacollective.com,4 Star,44,"""Kumily (PO)Thekkady, Idukki (Dist.) - 685536, KERALA"""
Hotel White Dammar International,KERALA,4712496601,4712496602,whitedammar@gmail.com,hotelwhitedammar@gmail.com,4 Star,12,"""Pappanamcode, Trivandrum - 695 018, KERALA"""
Hotel SP Grand Days,KERALA,0471-2333344,0471-2321000,mail@spgranddays.com,www.spgranddays.com,4 Star,69,"""Panavila JnThycaud P.O., Thiruvananthapuram - 695014, KERALA"""
Hotel Peninsula Park Residency,KERALA,4734243435,4734243345,parkresidency.park@gmail.com,NA,4 Star,20,"""Motel and Resorts Pvt. Ltd.Parakode, Adoor, Pathanamthitta Dist., KERALA"""
Hotel Indraprastha,KERALA,"04752039600,2397888-",4752397889,indraprasthapattazhi@yahoo.com,NA,4 Star,14,"""Pattazhi P.O.Pathanapuram, Kollam Dist.-691522, KERALA"""
Hotel Mangala Towers,KERALA,04872327461/2/3,4872325365,mangalatowers@gmail.com,www.hotelmangalatowers.com,4 Star,24,"""Paliyam RoadNear Bus Stand, Thrissur - 680001, KERALA"""
Hotel Soorya Regency,KERALA,0483-2735674-76,0483-2735677,sooryaregency@gmail.com,www.sooryaregency.com,4 Star,13,"""Calicut By-Pass RoadKavungal, Malappuram - 676505, KERALA"""
